Nome Autor,ABNT Longo,ABNT sem ponto,ABNT com ponto
Adacir Reis,"REIS, Adacir ","REIS, A ","REIS, A. "
Adilson Jose Campoy,"CAMPOY, Adilson Jose ","CAMPOY, A J ","CAMPOY, A. J. "
Adolpho Bergamini,"BERGAMINI, Adolpho ","BERGAMINI, A ","BERGAMINI, A. "
Adriana Valeria Pugliese,"PUGLIESE, Adriana Valeria ","PUGLIESE, A V ","PUGLIESE, A. V. "
Agnes Cretella,"CRETELLA, Agnes ","CRETELLA, A ","CRETELLA, A. "
Alamiro Velludo Salvador Netto,"NETTO, Alamiro Velludo Salvador ","NETTO, A V S ","NETTO, A. V. S. "
Alberto Gentil de Almeida Pedroso,"PEDROSO, Alberto Gentil de Almeida ","PEDROSO, A G A ","PEDROSO, A. G. A. "
Alberto Zacharias Toron,"TORON, Alberto Zacharias ","TORON, A Z ","TORON, A. Z. "
Alessandra Nascimento Silva,"SILVA, Alessandra Nascimento ","SILVA, A N ","SILVA, A. N. "
Alessandra Souza Costa,"COSTA, Alessandra Souza ","COSTA, A S ","COSTA, A. S. "
Alessandro Octaviani,"OCTAVIANI, Alessandro ","OCTAVIANI, A ","OCTAVIANI, A. "
Alexandre Freire,"FREIRE, Alexandre ","FREIRE, A ","FREIRE, A. "
Alexandre Junqueira Gomide,"GOMIDE, Alexandre Junqueira ","GOMIDE, A J ","GOMIDE, A. J. "
Alexandre Minati,"MINATI, Alexandre ","MINATI, A ","MINATI, A. "
Alexandre Sion,"SION, Alexandre ","SION, A ","SION, A. "
Alexsandro Silva Trindade,"TRINDADE, Alexsandro Silva ","TRINDADE, A S ","TRINDADE, A. S. "
Alfredo Assis Goncalves Neto,"GONCALVES NETO, Alfredo Assis ","GONCALVES NETO, A A ","GONCALVES NETO, A. A. "
Alfredo de Assis Goncalves Neto,"GONCALVES NETO, Alfredo de Assis ","GONCALVES NETO, A A ","GONCALVES NETO, A. A. "
Alfredo Rangel Ribeiro,"RIBEIRO, Alfredo Rangel ","RIBEIRO, A R ","RIBEIRO, A. R. "
Algusto Neves Dal Pozzo,"POZZO, Algusto Neves Dal ","POZZO, A N D ","POZZO, A. N. D. "
Aline Licia Klein,"KLEIN, Aline Licia ","KLEIN, A L ","KLEIN, A. L. "
Aloisio Zimmer,"ZIMMER, Aloisio ","ZIMMER, A ","ZIMMER, A. "
Aloisio Zimmer Junior,"ZIMMER JUNIOR, Aloisio ","ZIMMER JUNIOR, A ","ZIMMER JUNIOR, A. "
Amalia Rosa de Campos,"CAMPOS, Amalia Rosa de ","CAMPOS, A R ","CAMPOS, A. R. "
Amalia S. Botter Fabbri,"FABBRI, Amalia S. Botter ","FABBRI, A S B ","FABBRI, A. S. B. "
Amanda Flavio de Oliveira,"OLIVEIRA, Amanda Flavio de ","OLIVEIRA, A F ","OLIVEIRA, A. F. "
Ana Carolina Ribeiro de Oliveira Mendes,"MENDES, Ana Carolina Ribeiro de Oliveira ","MENDES, A C R O ","MENDES, A. C. R. O. "
Ana Claudia Brandao de Barros Correia Ferraz,"FERRAZ, Ana Claudia Brandao de Barros Correia ","FERRAZ, A C B B C ","FERRAZ, A. C. B. B. C. "
Ana Flavia Azevedo Pereira,"PEREIRA, Ana Flavia Azevedo ","PEREIRA, A F A ","PEREIRA, A. F. A. "
Ana Frazao,"FRAZAO, Ana ","FRAZAO, A ","FRAZAO, A. "
Ana Maria de Oliveira Nusdeo,"NUSDEO, Ana Maria de Oliveira ","NUSDEO, A M O ","NUSDEO, A. M. O. "
Ana Nunes,"NUNES, Ana ","NUNES, A ","NUNES, A. "
Ana Paula M. Canto de Lima,"LIMA, Ana Paula M. Canto de ","LIMA, A P M C ","LIMA, A. P. M. C. "
Ana Paula Oriola de Raeffray,"RAEFFRAY, Ana Paula Oriola de ","RAEFFRAY, A P O ","RAEFFRAY, A. P. O. "
Analluza Bolivar Dallari,"DALLARI, Analluza Bolivar ","DALLARI, A B ","DALLARI, A. B. "
Andre Antunes Soares de Camargo,"CAMARGO, Andre Antunes Soares de ","CAMARGO, A A S ","CAMARGO, A. A. S. "
Andre Castro Carvalho,"CARVALHO, Andre Castro ","CARVALHO, A C ","CARVALHO, A. C. "
Andre Franco Montoro,"MONTORO, Andre Franco ","MONTORO, A F ","MONTORO, A. F. "
